Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2013-11-03,204.86,210.0,203.51,210.0,11227.96295973,2318517.9743708,206.49497889211
2013-11-02,202.14,205.15,201.2,204.86,6600.0982594,1347852.0079148,204.21696086042
2013-11-01,203.54,203.54,200.23,202.15,4962.80900171,1005501.8936921,202.60741312948
2013-10-31,197.58,203.75,195.1,203.54,13741.49074655,2753814.5177046,200.40143886106
2013-10-30,204.0,206.0,195.0,197.54,25494.14807001,5125567.0067526,201.04876588451
2013-10-29,196.62,205.0,195.32,204.69,16744.50649074,3351774.6532921,200.17159987042
2013-10-28,194.99,197.5,190.8,196.62,12248.66455971,2386611.4217512,194.84666349682
2013-10-27,180.39,195.0,179.5,194.0,10095.56583408,1905642.7627008,188.76037203064
2013-10-26,187.5,190.0,177.0,179.56,9644.32071899,1756970.5276801,182.17670055503
2013-10-25,194.0,194.0,167.67,186.6,32779.54290704,5880692.2769691,179.40128981195
2013-10-24,203.94,206.6,156.2,193.87,55593.92700629,10335518.318128,185.91092363305
2013-10-23,189.74,203.96,185.0,203.96,24326.01475489,4773924.0418004,196.24768339174
2013-10-22,180.15,196.27,179.0,189.75,41865.06715467,7918494.2490367,189.14323533226
2013-10-21,166.6,181.93,166.05,180.13,33107.72111019,5817807.4536461,175.72358527134
2013-10-20,166.0,166.6,162.54,166.59,5667.34588161,936151.90426043,165.18347808948
2013-10-19,152.89,172.0,152.44,166.0,37966.98264041,6198648.2715755,163.26417957107
2013-10-18,143.94,154.69,143.23,152.89,23007.23097591,3412142.6003914,148.30739970247
2013-10-17,137.54,145.0,135.0,143.94,16767.05247967,2377733.4434161,141.80986469143
2013-10-16,142.75,147.0,137.38,137.56,26332.89631674,3755375.3877188,142.61155865834
2013-10-15,135.43,147.39,134.09,142.76,22232.07911256,3088042.7270814,138.90031208718
2013-10-14,132.83,138.22,132.0,135.42,21256.28057191,2875362.9260576,135.27121625678
2013-10-13,127.58,133.0,127.57,132.82,12574.14780981,1635271.2966761,130.05026832915
2013-10-12,127.38,128.0,126.01,127.98,7571.27286324,964578.81689555,127.39982223845
2013-10-11,126.8,127.42,125.93,127.38,7866.70490823,996941.18581458,126.72919569814
2013-10-10,125.79,126.8,124.9,126.8,11382.14626947,1432857.8720735,125.88643988145
2013-10-09,124.5,127.99,122.3,125.9,18933.76126312,2371894.5923167,125.27329141605
2013-10-08,123.5,125.17,122.17,124.13,13183.37384894,1633356.5051513,123.89518220957
